"thread_id","thread_date","author_id","thread_title","thread_body"
15339,"2025-06-02 00:03:28.47559+00",14773,"Seeking A Cost-effective Debt Collection Litigator in Texas","I'm looking to enforce a contract against a customer, and we're past the point of a debt collection agency. I typically use Foley for my outside counsel needs, but the claim against this customer is lower dollar value so looking for a mid-size firm or smaller. Austin is preferred, but Dallas is also acceptable. Thank you in advance! (In the alternative, the customer is based in Massachusetts, so a referral in that jurisdiction may also be helpful.) "
15340,"2025-06-02 10:50:57.014662+00",3125,"Legal & Compliance Challenges Of Turning On-Prem Customers Into Cloud Users","What strategies have other software companies used to attract on-prem customer to their cloud offerings / to boost the adoption of cloud features by on-prem customers? I would be interested in any recommendations on how to efficiently manage the legal and compliance challenges of turning on-prem customers into cloud users, in particular, when ""cloud add-ons"" are made available to existing on-prem customers who don't yet have cloud terms, data processing agreements, infosec schedules, data transfer clauses, etc., how to palliate those gaps effectively.   * Could ""click-through"" processes executed by IT admins to accept the software vendor's standard terms create enough legal certainty even in cases where those standard terms would significantly alter / override hard-negotiated agreements in place?   * The idea of the business is to make the cloud features available to the customers' IT admins, and have them click through the cloud onboarding process, asking them to represent that they have the legal authority to do so. We as the legal team don't think that this strategy legally bulletproof, but the business doesn't want to introduce ""legal friction"" into the product adoption process.   "
15341,"2025-06-02 13:33:36.558248+00",36639,"Digital Media Anti-Piracy Efforts","I would be interested in discussing anti-piracy efforts by direct-to-consumer digital media companies. If you, or anyone in your network, has experience here and would be willing to speak with me, please reach out and let me know. I'll share what we are doing at FloSports. "
15342,"2025-06-02 13:48:02.200531+00",1674,"Federal Clearance","Our company holds a Facility Clearance (FCL) for prime subcontracting govn't contracts, which of course requires us to designate a Senior Management Official (SMO).  The individual who would serve as SMO is unable to. It also practically does not make sense for that person. I can provide more details.  We've seen exception examples--like Raytheon/RTX, but our DCSA rep is holding firm and not allowing exceptions. Has anyone successfully worked with DCSA on exceptions or appeals? Any advice would be greatly appreciated. Thanks in advance! "
15343,"2025-06-02 14:28:42.148067+00",4,"Generative AI Playbook","Generative AI Playbook. "
15344,"2025-06-02 15:20:08.367699+00",12506,"AI Workflows","I have been tasked with incorporating AI into the legal workflow (beyond contract redlining). My goal is to create a self-service environment for the business, as I am a department of one. The business is challenged in that it's a ""green"" group when it comes to legal, and I think AI could be really useful in educating and getting the business organized. Is there anyone else working on this type of project? "
15345,"2025-06-02 15:22:21.518396+00",2403,"Legal Contact @ Google, LLC / GTech","If anyone would be willing to share a legal POC at Google, LLC (or their GTech unit if they are that granular), I would greatly appreciate it. My team is running into a business side contact who seems unwilling to raise some pretty market standard contract revisions with their legal team. It seems the biz folks have authority to negotiate commercial points of their standard vendor contract but nothing that is purely legal (e.g. liability, indemnification). Alternatively, if anyone has experience with their willingness to negotiate allocation of risk generally or liability caps specifically, that would be helpful as well. "
15345,"2025-06-02 15:22:21.518396+00",2403,"Legal Contact @ Google, LLC / GTech","If anyone would be willing to share a legal POC at Google, LLC (or their GTech unit if they are that granular), I would greatly appreciate it. My team is running into a business side contact who seems unwilling to raise some pretty market standard contract revisions with their legal team. It seems the biz folks have authority to negotiate commercial points of their standard vendor contract but nothing that is purely legal (e.g. liability, indemnification). Alternatively, if anyone has experience with their willingness to negotiate allocation of risk generally or liability caps specifically, that would be helpful as well. "
15346,"2025-06-02 16:14:34.016409+00",263,"Fund Counsel For Weirder Stucture","A friend is working on his fund 2 and is thinking about an alternative fund structure for it. Something like a holdco/evergreen model or consulting + GP structure. He's not wedded to any of those, but feels like his current counsel is very ""traditional structure"" focused and can't really help him thinking through all these options.  Does anyone have someone for these more alternative fund structures? "
15347,"2025-06-02 17:22:23.298794+00",114,"LPOs in Eastern Europe or India?","Looking for recommendations for LPOs located either in Eastern Europe or India. I'd also be curious if anyone is willing to share their experience working with an LPO vs fully automating via AI. Primarily, I'm looking for a company that excels in contract management, but open to other areas as well. "
15348,"2025-06-02 18:10:41.937126+00",30306,"Commercial Litigator In Los Angeles, CA","I am looking for a good, reasonably priced commercial litigator in Los Angeles, CA. Please send through any recommendations. "
15349,"2025-06-02 18:46:58.113667+00",35745,"Contracts 365","I am reaching out to gather insights and experiences from anyone who is currently using Contracts365 as their Contract Lifecycle Management (CLM) system. Our team has been utilizing both Agiloft and Ironclad, but we've encountered a few challenges with these platforms.  If you have experience with Contracts365, I would love to hear about your successes, any pain points you've faced, and overall impressions of the system. "
15350,"2025-06-02 19:17:53.783058+00",1810,"Research Security Training For Fed R&D Grant Applications","There is a new requirement for any covered institution (not just research universities or labs) applying for federal R&D grants, that named applicants complete a ""research security training"", based on federal guidelines. The requirement can be completed by completing the 4 1-hour modules offered by the NSF, found here. Alternatively, applicants can ""develop and implement their own research security training program aligned with the requirements in Section 10634(b) of the CHIPS and Science Act of 2022."" Question to this group: Has anyone developed their own internal training that would comply with this requirement that they'd be willing to share? "
15351,"2025-06-02 19:29:42.436912+00",21540,"Indonesia Outside Counsel","Does anyone have recommendations for outside counsel in Indonesia? We're looking to manage localization for some terms updates on fairly short notice. "
15353,"2025-06-02 20:26:39.126066+00",35106,"UK Counsel For Late Stage Financing","Looking for UK counsel to assist with an investor-side late stage venture financing into a UK company (we are US based). Preferably a small shop that is responsive. "
15354,"2025-06-02 21:37:43.551226+00",33780,"CO Employment Counsel","Any recommendations for a small-midsize firm to be CO employment counsel? "
